City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
444,lagunas,-5.2269,-75.6753,24.82,80,44,1.08,PE,1722997719
445,thunder bay,48.4001,-89.3168,18.99,48,20,2.06,CA,1722997442
446,fale old settlement,-9.3852,-171.2468,28.29,73,58,6.26,TK,1722997721
447,ulladulla,-35.35,150.4667,15.98,42,4,2.12,AU,1722997722
448,ames,42.0347,-93.6199,20.1,82,75,0.0,US,1722997690
449,ar rutbah,33.0381,40.2848,26.94,34,0,5.65,IQ,1722997724
450,taunggyi,20.7833,97.0333,21.75,84,95,2.22,MM,1722997726
451,kota tinggi,1.7381,103.8999,30.02,67,100,2.07,MY,1722997727
452,constitucion,-35.3333,-72.4167,6.5,87,9,2.3,CL,1722997728
453,pozzallo,36.7305,14.8499,23.36,70,0,0.53,IT,1722997729
454,bima,-8.4667,118.7167,31.22,52,59,2.38,ID,1722997730
455,sile,41.1754,29.6133,23.37,73,0,0.86,TR,1722997731
456,amga,60.8953,131.9608,15.66,84,71,2.46,RU,1722997732
457,mahajanga,-15.7167,46.3167,20.01,83,0,3.09,MG,1722997733
458,alotau,-10.3069,150.4462,28.07,68,100,2.78,PG,1722997734
459,turpan,42.9333,89.1667,34.71,21,96,2.83,CN,1722997735
460,porto novo,6.4965,2.6036,24.51,82,96,3.64,BJ,1722997656
461,petauke,-14.2426,31.3253,15.52,60,0,2.81,ZM,1722997738
462,presidente epitacio,-21.7633,-52.1156,23.27,35,0,3.45,BR,1722997739
463,huittinen,61.1833,22.7,16.09,80,99,1.45,FI,1722997740
464,tashtagol,52.7657,87.8894,15.05,94,100,1.0,RU,1722997741
465,geraldton,-28.7667,114.6,20.23,73,40,7.72,AU,1722997742
466,sao gabriel da cachoeira,-0.1303,-67.0892,24.39,70,0,0.47,BR,1722997743
467,sao joao de pirabas,-0.7747,-47.1772,24.69,91,100,2.81,BR,1722997744
468,laguna,38.421,-121.4238,38.87,19,0,3.09,US,1722997483
469,cadillac,44.2519,-85.4012,15.95,82,0,1.03,US,1722997747
470,altay,47.8667,88.1167,21.56,32,100,1.48,CN,1722997748
471,papao,-17.75,-149.55,27.82,79,15,9.8,PF,1722997749
472,lockwood,45.8191,-108.4149,19.94,72,100,10.29,US,1722997750
473,keetmanshoop,-26.5833,18.1333,12.12,28,34,2.59,NA,1722997751
474,buritis,-15.6178,-46.4233,19.1,29,0,0.67,BR,1722997752
475,belyy yar,53.6039,91.3903,18.94,72,0,2.0,RU,1722997753
476,kayangel,8.0823,134.7173,29.06,74,61,4.97,PW,1722997754
477,lompoc,34.6391,-120.4579,28.9,88,0,5.14,US,1722997755
478,hadibu,12.65,54.0333,25.0,79,65,9.31,YE,1722997756
479,egilsstadir,65.2653,-14.3948,6.95,93,20,1.03,IS,1722997757
480,middletown,39.5151,-84.3983,28.63,91,75,4.12,US,1722997675
481,tsengel,49.4783,100.8894,17.66,57,4,1.81,MN,1722997760
482,arkhangel'sk,64.5401,40.5433,10.06,100,0,2.0,RU,1722997761
483,kudymkar,59.0173,54.656,14.64,95,100,1.39,RU,1722997762
484,kudahuvadhoo,2.6708,72.8944,27.74,75,100,2.11,MV,1722997556
485,zhangye,38.9342,100.4517,30.4,20,0,4.99,CN,1722997765
486,shimoda,34.6667,138.95,31.72,83,85,2.8,JP,1722997766
487,boguchany,58.3814,97.4531,18.39,92,100,2.22,RU,1722997478
488,kolonia town,6.964,158.206,27.06,100,100,4.63,FM,1722997768
489,namie,37.4833,141.0,31.42,75,25,3.81,JP,1722997769
490,velikiy ustyug,60.7644,46.3106,11.95,95,97,2.41,RU,1722997771
491,tindouf,27.6711,-8.1474,33.25,10,0,6.17,DZ,1722997772
492,dunkwa,5.9656,-1.78,21.02,96,92,1.61,GH,1722997773
493,cabedelo,-6.9811,-34.8339,23.37,83,31,5.03,BR,1722997772
494,prince george,53.9166,-122.753,24.23,46,0,2.06,CA,1722997775
495,surazh,53.0175,32.3918,15.64,91,100,0.92,RU,1722997776
496,lorengau,-2.0226,147.2712,28.58,77,32,4.51,PG,1722997777
497,stjordalshalsen,63.4681,10.9262,21.0,56,0,5.66,NO,1722997778
498,cabo san lucas,22.8909,-109.9124,27.61,90,100,0.0,MX,1722997779
499,sierra grande,-41.606,-65.3557,5.86,84,100,9.93,AR,1722997780
500,ostersund,63.1792,14.6357,16.25,96,100,5.66,SE,1722997497
501,roxas,11.5853,122.7511,29.52,70,55,1.95,PH,1722997782
502,villa gesell,-37.2639,-56.973,12.81,99,99,3.76,AR,1722997783
503,luderitz,-26.6481,15.1594,11.85,80,99,1.59,NA,1722997785
504,kendari,-3.945,122.4989,28.75,69,13,1.4,ID,1722997786
505,i-n-salah,27.1935,2.4607,32.69,14,0,4.94,DZ,1722997787
506,kirtland,36.7342,-108.3598,24.23,63,94,8.07,US,1722997788
507,orcopampa,-15.2661,-72.3417,4.04,64,0,0.93,PE,1722997789
508,santa maria del oro,25.9333,-105.3667,25.49,39,99,0.72,MX,1722997790
509,puntarenas,9.9763,-84.8384,24.97,92,100,1.22,CR,1722997717
510,simanggang,1.2472,111.4528,25.99,94,20,1.54,MY,1722997722
511,montrose,38.4166,-108.2673,18.38,51,73,1.22,US,1722997794
512,pisco,-13.7,-76.2167,16.03,82,2,1.54,PE,1722997795
513,lerwick,60.1545,-1.1494,13.0,90,12,6.43,GB,1722997796
514,sandnessjoen,66.0217,12.6316,14.29,75,8,7.94,NO,1722997798
515,myeik,12.4333,98.6,27.2,81,100,0.75,MM,1722997799
516,essaouira,31.5125,-9.77,19.72,94,4,1.54,MA,1722997800
517,praya,14.9215,-23.5087,26.3,78,20,4.12,CV,1722997801
518,fort stockton,30.894,-102.8793,33.03,31,0,3.09,US,1722997802
519,mokhotlong,-29.2894,29.0675,3.24,49,0,0.7,LS,1722997803
520,tarandacuao,20.0,-100.5333,16.03,94,98,1.44,MX,1722997804
521,zaysan,47.4667,84.8667,26.55,30,100,5.01,KZ,1722997806
